Antal,Your name,Billede,Bio,Topic,Your title,Your organization,Launch,Text only navn og titel,LinkedIn,Column 7
1,Henrik Werdelin,,,,Founder/Investor/Author,BARK/Prehype/Audos,"Henrik Werdelin, Founder/Investor/Author, BARK/Prehype/Audos","Henrik Werdelin, Founder/Investor/Author, BARK/Prehype/Audos",https://www.linkedin.com/in/werdelin/,"Henrik Werdelin, Founder/Investor/Author, BARK/Prehype/Audos"
2,Nils Smed,,,,Partner & FDE,Heyra,"Nils Smed, Partner & FDE, Heyra","Nils Smed, Partner & FDE, Heyra",https://www.linkedin.com/in/nilssmed/,"Nils Smed, Partner & FDE, Heyra"
3,Berit D. Brouer,,,,"PhD, VP of Engineering, Data & AI",ZeroNorth,"Berit D. Brouer, PhD, VP of Engineering, Data & AI, ZeroNorth","Berit D. Brouer, PhD, VP of Engineering, Data & AI, ZeroNorth",https://www.linkedin.com/in/beritbrouer/,"Berit D. Brouer, PhD, VP of Engineering, Data & AI, ZeroNorth"
4,Morten Busk,,,,Co-founder,The Good Stuff Company,"Morten Busk, Co-founder, The Good Stuff Company","Morten Busk, Co-founder, The Good Stuff Company",https://www.linkedin.com/in/mortenbusk/,"Morten Busk, Co-founder, The Good Stuff Company"
5,Miriam Plon Sauer,,,,Global Chief Strategy Officer,AKQA,"Miriam Plon Sauer, Global Chief Strategy Officer, AKQA","Miriam Plon Sauer, Global Chief Strategy Officer, AKQA",https://www.linkedin.com/in/miriamplonsauer/,"Miriam Plon Sauer, Global Chief Strategy Officer, AKQA"
6,Thomas Martinsen,,,,Global Tech Evangelist,Twoday,"Thomas Martinsen, Global Tech Evangelist, Twoday","Thomas Martinsen, Global Tech Evangelist, Twoday",https://www.linkedin.com/in/thomasmartinsen/,"Thomas Martinsen, Global Tech Evangelist, Twoday"
7,Lishuai Jing,,,,"PhD, Co-founder",memtrace.io,"Lishuai Jing, PhD, Co-founder, memtrace.io","Lishuai Jing, PhD, Co-founder, memtrace.io",https://www.linkedin.com/in/lishuaijing/,"Lishuai Jing, PhD, Co-founder, memtrace.io"
8,Arun Prakash,,,,Risk Manager,Novo Nordisk Engineering,"Arun Prakash, Risk Manager, Novo Nordisk Engineering","Arun Prakash, Risk Manager, Novo Nordisk Engineering",https://www.linkedin.com/in/arunprakashmr/,"Arun Prakash, Risk Manager, Novo Nordisk Engineering"
9,Jeppe Nørregaard,,,,"PhD, CEO/CTO",InReality,"Jeppe Nørregaard, PhD, CEO/CTO, InReality","Jeppe Nørregaard, PhD, CEO/CTO, InReality",https://www.linkedin.com/in/jeppe-n%C3%B8rregaard/,"Jeppe Nørregaard, PhD, CEO/CTO, InReality"
10,Christian Kjaer Laustsen,,,,CTO & Co-founder,Yaay,"Christian Kjaer Laustsen, CTO & Co-founder, Yaay","Christian Kjaer Laustsen, CTO & Co-founder, Yaay",https://www.linkedin.com/in/christian-kjaer-laustsen/,"Christian Kjaer Laustsen, CTO & Co-founder, Yaay"
11,Tim Granlund Marsden,,,,Tech Lead,"Enterprise AI, Novo Nordisk","Tim Granlund Marsden, Tech Lead, Enterprise AI, Novo Nordisk","Tim Granlund Marsden, Tech Lead, Enterprise AI, Novo Nordisk",https://www.linkedin.com/in/timgm/,"Tim Granlund Marsden, Tech Lead, Enterprise AI, Novo Nordisk"
12,Felix Wigand,,,,Co-founder & CPO,Virtuall,"Felix Wigand, Co-founder & CPO, Virtuall","Felix Wigand, Co-founder & CPO, Virtuall",https://www.linkedin.com/in/felix-wigand-81b641a1/,"Felix Wigand, Co-founder & CPO, Virtuall"
13,Daniel Rothmann,,,,Technical Founder,Eigin,"Daniel Rothmann, Technical Founder, Eigin","Daniel Rothmann, Technical Founder, Eigin",https://www.linkedin.com/in/danielrothmann/,"Daniel Rothmann, Technical Founder, Eigin"
14,Sigurd Bæk,,,,Founder,Drive/Kioski/Norma,"Sigurd Bæk, Founder, Drive/Kioski/Norma","Sigurd Bæk, Founder, Drive/Kioski/Norma",https://www.linkedin.com/in/sigurdbaek/,"Sigurd Bæk, Founder, Drive/Kioski/Norma"
15,Casper Willer,,,,Founder,Norma,"Casper Willer, Founder, Norma","Casper Willer, Founder, Norma",https://www.linkedin.com/in/casperwiller/,"Casper Willer, Founder, Norma"
16,Xander Evangelidis ,,,,Head of Digital Innovation Catalyst,Ørsted,"Xander Evangelidis , Head of Digital Innovation Catalyst, Ørsted","Xander Evangelidis , Head of Digital Innovation Catalyst, Ørsted",https://www.linkedin.com/in/alexanderevangelidis/,"Xander Evangelidis , Head of Digital Innovation Catalyst, Ørsted"
17,Sofie Hvitved,,,,,,Sofie Hvitved,,,
18,,,,,,,,,,
19,,,,,,,,,,
