Your name,Your title,Your organization,"Please check the conference timeslots where you're available on 10/09/2026. Tick all boxes that apply.

All talks and demos are 20 minutes + 5 minutes for questions from the audience. "
Jeppe Nørregaard,CEO / CTO,InReality,"9:30 - 9:55, 10:00 - 10:25, 10:50 - 11:15, 11:20 - 11:45"
Christian Kjaer Laustsen,CTO and Co-founder,Yaay,"9:30 - 9:55, 10:00 - 10:25, 10:50 - 11:15, 11:20 - 11:45, 12:50 - 13:15, 13:20 - 13:45, 14:10 - 14:35, 14:40 - 15:05"
Arun Prakash,Risk Manager,Novo Nordisk Engineering,
Tim Granlund Marsden,Tech Lead,"Enterprise AI, Novo Nordisk",13:20 - 13:45
Lishuai Jing,"PhD, Co-founder ",memtrace.io,"10:00 - 10:25, 10:50 - 11:15, 11:20 - 11:45"
Berit D. Brouer,"VP of Engineering, Data & AI",ZeroNorth A/S,"9:30 - 9:55, 10:00 - 10:25, 10:50 - 11:15, 11:20 - 11:45, 12:50 - 13:15"
Felix Wigand,Co-founder & CPO,Virtuall,11:20 - 11:45
Miriam Plon Sauer,Global Chief Strategy Officer,AKQA,"9:30 - 9:55, 10:00 - 10:25, 10:50 - 11:15, 11:20 - 11:45, 12:50 - 13:15"
Xander Evangelidis,Head of Digital Innovation Catalyst,Ørsted,"12:50 - 13:15, 13:20 - 13:45, 14:10 - 14:35"
Daniel Rothmann,Technical Founder,Eigin,"10:50 - 11:15, 11:20 - 11:45, 12:50 - 13:15, 13:20 - 13:45, 14:10 - 14:35, 14:40 - 15:05"
Nils Smed,"Parter, Heyra",Heyra,"9:30 - 9:55, 10:00 - 10:25, 10:50 - 11:15, 11:20 - 11:45, 12:50 - 13:15, 13:20 - 13:45, 14:10 - 14:35, 14:40 - 15:05"
Morten Busk,Co-founder,The Good Stuff Company,"9:30 - 9:55, 10:00 - 10:25, 10:50 - 11:15, 11:20 - 11:45"
Thomas Martinsen,Global Tech Evangelist,Twoday,
Felix Wigand,Co-founder & CPO ,Virtuall,"12:50 - 13:15, 13:20 - 13:45, 14:10 - 14:35, 14:40 - 15:05"
Lars Buur,CTO,Dreamplan.io ApS,"9:30 - 9:55, 10:00 - 10:25, 10:50 - 11:15, 11:20 - 11:45, 12:50 - 13:15, 13:20 - 13:45"
Sofie Hvitved,Futurist & Director of Media Futures & Innovation,Copenhagen Institute for Futures Studies,12:50 - 13:15
